# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio10/30/202200:00
4.224330552956977236e+00,6.283185307131219588e+00,4.497202763414445137e+00,1.136170025652766924e+00,5.285306328016880606e+00,-1.021885050967564990e+00,9.023226940018611586e-01,2.165475798734368240e+00
4.730199644233926470e+00,5.235987756848956565e-01,4.993570723222798158e+00,1.661210974921605299e+00,5.547826698879470442e+00,-7.785381578876011677e-01,1.163405298884238714e+00,3.177213981288266709e+00
5.236068735333196500e+00,1.047197551185327313e+00,5.489938682861568608e+00,2.186251924196929153e+00,5.810347069724504543e+00,-5.351912649923901144e-01,1.424487903650328402e+00,4.188952163486806768e+00
5.741937826580161719e+00,1.570796326802174292e+00,5.986306642643985043e+00,2.711292873828488936e+00,6.072867440726859911e+00,-2.918443721314314954e-01,1.685570508474497853e+00,5.200690345980737206e+00
6.247806917974818575e+00,2.094395102535436592e+00,1.994892953904612298e-01,3.236333823816265109e+00,5.220250470694054457e-02,-4.849747930471876023e-02,1.946653113356748843e+00,6.212428528770050917e+00
4.704907020076340984e-01,2.617993878035868249e+00,6.958572551403134909e-01,3.761374773809986749e+00,3.147228758487852218e-01,1.948494133329364275e-01,2.207735718122965096e+00,9.409814040152681969e-01
9.763597932556278280e-01,3.141592653536299906e+00,1.192225214923761101e+00,4.286415724043738606e+00,5.772432470898509749e-01,4.381963058823414858e-01,2.468818322888927774e+00,1.952719586511255656e+00
1.482228884775850908e+00,3.665191429269562207e+00,1.688593174979451383e+00,4.811456674750090201e+00,8.397636185464234515e-01,6.815431984638455898e-01,2.729900927771178321e+00,2.964457769551701816e+00
1.988097976101878217e+00,4.188790204769993863e+00,2.184961134840914809e+00,5.336497625462595096e+00,1.102283989985280321e+00,9.248900908442513336e-01,2.990983532537267564e+00,3.976195952203756434e+00
2.493967067583463759e+00,4.712388980386840842e+00,2.681329094857954232e+00,5.861538576531007294e+00,1.364804361581297698e+00,1.168236983198436052e+00,3.252066137361564913e+00,4.987934135166927518e+00
2.999836159217048603e+00,5.235987756120103143e+00,3.177697055024973238e+00,1.033942207762343912e-01,1.627324733334725160e+00,1.411583875522593789e+00,3.513148742243815015e+00,5.999672318434097207e+00
3.505705250551701013e+00,5.759586531504119478e+00,3.674065014899097648e+00,6.284351720902456861e-01,1.889845105011961124e+00,1.654930767599398944e+00,3.774231346951950616e+00,7.282251939238157945e-01
-2.271610964916022990e+00,5.779554612672654912e-11,-2.112752332035193081e+00,1.153476123993968372e+00,2.152365476963264079e+00,-4.384907647424856947e+00,-2.247871355345384625e+00,-4.543221929832045980e+00
-1.765741873281441610e+00,5.235987756746425248e-01,-1.616384371867175762e+00,1.678517076020714427e+00,2.414885848955290459e+00,-4.141560755412140082e+00,-1.986788750521341296e+00,-3.531483746562883219e+00
-1.259872781833190736e+00,1.047197551058658860e+00,-1.120016411881470830e+00,2.203558028053292261e+00,2.677406220929444913e+00,-3.898213863592492334e+00,-1.725706145813333148e+00,-2.519745563666381472e+00
-7.540036900041815482e-01,1.570796326791921160e+00,-6.236484515190425792e-01,2.728598980675034369e+00,2.939926593177395464e+00,-3.654866971690492239e+00,-1.464623540930955148e+00,-1.508007380008363096e+00
-2.481345981317232274e-01,2.094395102525183461e+00,-1.272804911111161674e-01,3.253639933536437212e+00,3.202446965524390343e+00,-3.411520079868691990e+00,-1.203540936048704602e+00,-4.962691962634464549e-01
2.577344934339187432e-01,2.617993877909199796e+00,3.690874689919620977e-01,3.778680886287212104e+00,3.464967337795286539e+00,-3.168173188302214616e+00,-9.424583313406955654e-01,5.154689868678374864e-01
7.636035853805721585e-01,3.141592653642462096e+00,8.654554294720505636e-01,4.303721839627376866e+00,3.727487710340093408e+00,-2.924826296653241009e+00,-6.813757264584454632e-01,1.527207170761144317e+00
1.269472677253743687e+00,3.665191429259309075e+00,1.361823389880660873e+00,4.828762793090236372e+00,3.990008082925463828e+00,-2.681479405142914718e+00,-4.202931216342751242e-01,2.538945354507487373e+00
1.775341769053181196e+00,4.188790204759740732e+00,1.858191350217563986e+00,5.353803746675518838e+00,4.252528455551264130e+00,-2.438132513771351206e+00,-1.592105168680588712e-01,3.550683538106362391e+00
2.281210861000793066e+00,4.712388980376587710e+00,2.354559310698597585e+00,5.878844700617317898e+00,4.515048828334542463e+00,-2.194785622433692129e+00,1.018720879559840142e-01,4.562421722001586133e+00
2.787079952991081022e+00,5.235987755993434689e+00,2.850927271224337645e+00,1.207003476183512447e-01,4.777569201216448569e+00,-1.951438731176582175e+00,3.629546927802809186e-01,5.574159905982162044e+00
3.292949044904327049e+00,5.759586531493866346e+00,3.347295231673002913e+00,6.457413019221220907e-01,5.040089574139151374e+00,-1.708091840061904731e+00,6.240372975462435967e-01,3.027127826290678669e-01
3.798818137085460123e+00,4.754241444970830344e-11,3.843663192387573702e+00,1.170782256698025492e+00,5.302609947277141522e+00,-1.464744948919223910e+00,8.851199024286215966e-01,1.314450966991334013e+00
4.304687229197423193e+00,5.235987756643893931e-01,4.340031153037003264e+00,1.695823211596801272e+00,5.565130320455790702e+00,-1.221398057910963342e+00,1.146202507252791047e+00,2.326189151215260154e+00
4.810556321227512200e+00,1.047197551164821050e+00,4.836399113602514177e+00,2.220864166617932511e+00,5.827650693674838678e+00,-9.780511670495652954e-01,1.407285112019007300e+00,3.337927335275438168e+00
5.316425413526245869e+00,1.570796326898083350e+00,5.332767074434667798e+00,2.745905122111921060e+00,6.090171067109540814e+00,-7.347042761597675220e-01,1.668367716901258291e+00,4.349665519872905506e+00
5.822294505751485438e+00,2.094395102514930329e+00,5.829135035195358583e+00,3.270946077728488888e+00,6.950613340517097782e-02,-4.913573854085649395e-01,1.929450321725428186e+00,5.361403704323384645e+00
4.497829071958303615e-02,2.617993878015361986e+00,4.231768869887808648e-02,3.795987033467628891e+00,3.320265069208971909e-01,-2.480104948000153020e-01,2.190532926491517429e+00,8.995658143916607230e-02
5.508473829104367780e-01,3.141592653515793643e+00,5.386856494271983209e-01,4.321027989445990869e+00,5.945468805354634512e-01,-4.663604271719246075e-03,2.451615531257607117e+00,1.101694765820873556e+00
1.056716475365611529e+00,3.665191429249055943e+00,1.035053610415794800e+00,4.846068945896913505e+00,8.570672543655346587e-01,2.386832862808084266e-01,2.712698136139857663e+00,2.113432950731223059e+00
1.562585567634426909e+00,4.188790204749487600e+00,1.531421571222061573e+00,5.371109902353442322e+00,1.119587628177638905e+00,4.820301766403642940e-01,2.973780740906073472e+00,3.125171135268853817e+00
2.068454660051394001e+00,4.712388980366334579e+00,2.027789532172448617e+00,5.896150859166340297e+00,1.382108002147155013e+00,7.253770669660797310e-01,3.234863345730116801e+00,4.136909320102788001e+00
2.574323752627691420e+00,5.235987756099596879e+00,2.524157493284199916e+00,1.380065091549909084e-01,1.644628376273571391e+00,9.687239572696482170e-01,3.495945950612494801e+00,5.148647505255382839e+00
3.080192845014069647e+00,5.759586531600028536e+00,3.020525454208014438e+00,6.630474663293028925e-01,1.907148750382257063e+00,1.212070847376450544e+00,3.757028555378584489e+00,6.160385690028139294e+00
-2.697123369631749590e+00,3.728928277269005775e-11,-2.766291891904400835e+00,1.188088423859190002e+00,2.169669124647959357e+00,-4.827767569730538888e+00,-2.265074146976705283e+00,-5.394246739263499180e+00
-2.191254277058376054e+00,5.235987756541362614e-01,-2.269923930797608236e+00,1.713129381628723635e+00,2.432189499012718414e+00,-4.584420679741962878e+00,-2.003991542152662397e+00,-4.382508554116752109e+00
-1.685385184554703208e+00,1.047197551154567918e+00,-1.773555969756482220e+00,2.238170339520458185e+00,2.694709873417811874e+00,-4.341073789887993861e+00,-1.742908937386572710e+00,-3.370770369109406417e+00
-1.179516091899329933e+00,1.570796326771414897e+00,-1.277188008565673716e+00,2.763211297767979246e+00,2.957230247980032090e+00,-4.097726900064021294e+00,-1.481826332562402371e+00,-2.359032183798659865e+00
-6.736469990925076923e-01,2.094395102504677197e+00,-7.808200472254475111e-01,3.288252256371022142e+00,3.219750622699248055e+00,-3.854380010270165080e+00,-1.220743727680025259e+00,-1.347293998185015385e+00
-1.677779064715535506e-01,2.617993878005108854e+00,-2.844520860670393114e-01,3.813293214980069123e+00,3.482270997400702228e+00,-3.611033120668981855e+00,-9.596611229139355714e-01,-3.355558129431071013e-01
3.380911862967795889e-01,3.141592653621955833e+00,2.119158752346960162e-01,4.338334173944607741e+00,3.744791372259139273e+00,-3.367686231101968186e+00,-6.985785180896386670e-01,6.761823725935591778e-01
8.439602792254455865e-01,3.665191429355218133e+00,7.082838366988150058e-01,4.863375133265394723e+00,4.007311747274937552e+00,-3.124339341556546579e+00,-4.374959132075151302e-01,1.687920558450891173e+00
1.349829371850807203e+00,4.188790204739234468e+00,1.204651797863644180e+00,5.388416092474711760e+00,4.269832122214239689e+00,-2.880992452262495007e+00,-1.764133084993795286e-01,2.699658743701614405e+00
1.855698464732849384e+00,4.712388980356081447e+00,1.701019759277059062e+00,5.913457052156923410e+00,4.532352497369227962e+00,-2.637645562952010803e+00,8.466929632466380085e-02,3.711396929465698769e+00
2.361567557774201020e+00,5.235987756089343748e+00,2.197387720851832427e+00,1.553127050147384836e-01,4.794872872681051668e+00,-2.394298673663610266e+00,3.457519012070413567e-01,4.723135115548402041e+00
2.867436650517071861e+00,5.759586531473360083e+00,2.693755682134169938e+00,6.803536649413981507e-01,5.057393247916746049e+00,-2.150951784622117557e+00,6.068345059150495047e-01,5.734873301034143722e+00
